id,name,version,rarity,rate,start_date,end_date,is_rerun,is_limited,banner_image
105,Mr. C.B.,,3*,0.75,24/02/2023,20/03/2023,FALSE,TRUE,
106,Twin Turbo,,3*,10,24/02/2023,20/03/2023,FALSE,TRUE,
107,Daiichi Ruby,,3*,0.75,10/03/2023,20/03/2023,FALSE,TRUE,
108,Symboli Kris S,,3*,0.75,20/03/2023,29/03/2023,FALSE,TRUE,
109,Sakura Chiyono O,Ballroom,3*,0.75,29/03/2023,10/04/2023,FALSE,TRUE,
110,Mejiro Ardan,Ballroom,3*,0.75,29/03/2023,10/04/2023,FALSE,TRUE,
111,Sakura Laurel,,3*,0.75,10/04/2023,19/04/2023,FALSE,TRUE,
112,Neo Universe,,3*,0.75,19/04/2023,28/04/2023,FALSE,TRUE,
113,Sakura Bakushin O,Sports Festival,3*,0.75,28/04/2023,10/05/2023,FALSE,TRUE,
114,Matikanetannhauser,Sports Festival,3*,0.75,28/04/2023,10/05/2023,FALSE,TRUE,
115,Daitaku Helios,,3*,0.75,28/04/2023,10/05/2023,TRUE,FALSE,
116,Mejiro Palmer,,3*,0.75,28/04/2023,10/05/2023,TRUE,FALSE,
117,Tosen Jordan,,3*,0.75,28/04/2023,10/05/2023,TRUE,FALSE,
118,Gold City,,3*,0.75,28/04/2023,10/05/2023,TRUE,FALSE,
119,Hishi Miracle,,3*,0.75,10/05/2023,19/05/2023,FALSE,TRUE,
120,Tanino Gimlet,,3*,0.75,19/05/2023,29/05/2023,FALSE,TRUE,
121,Hishi Amazon,Wedding,3*,0.75,29/05/2023,09/06/2023,FALSE,TRUE,
122,Nishino Flower,Wedding,3*,0.75,29/05/2023,09/06/2023,FALSE,TRUE,
123,Yamanin Zephyr,,3*,0.75,09/06/2023,19/06/2023,TRUE,FALSE,
124,Taiki Shuttle,Camping,3*,0.75,09/06/2023,19/06/2023,TRUE,FALSE,
125,Marvelous Sunday,,3*,0.75,19/06/2023,29/06/2023,FALSE,TRUE,
126,Tosen Jordan,Summer Trip,3*,0.75,29/06/2023,10/07/2023,FALSE,TRUE,
127,Bamboo Memory,Summer Trip,3*,0.75,29/06/2023,10/07/2023,FALSE,TRUE,
128,Katsuragi Ace,,3*,0.75,10/07/2023,21/07/2023,FALSE,TRUE,
129,Sirius Symboli,,3*,0.75,21/07/2023,31/07/2023,FALSE,TRUE,
130,Silence Suzuka,Summer,3*,0.75,31/07/2023,14/08/2023,FALSE,TRUE,
131,Agnes Tachyon,Summer,3*,0.75,31/07/2023,14/08/2023,FALSE,TRUE,
132,Hokko Tarumae,,3*,0.75,14/08/2023,24/08/2023,TRUE,FALSE,
133,Copano Rickey,,3*,0.75,14/08/2023,24/08/2023,TRUE,FALSE,
134,Narita Top Road,,3*,0.75,24/08/2023,11/09/2023,FALSE,TRUE,
135,Gold Ship,Project L'Arc,3*,0.75,31/08/2023,11/09/2023,FALSE,TRUE,
136,Satono Diamond,Project L'Arc,3*,0.75,11/09/2023,20/09/2023,FALSE,TRUE,
137,K.S.Miracle,,3*,0.75,20/09/2023,29/09/2023,FALSE,TRUE,
138,Symboli Kris S,Halloween,3*,0.75,29/09/2023,11/10/2023,FALSE,TRUE,
139,Air Shakur,Halloween,3*,0.75,29/09/2023,11/10/2023,FALSE,TRUE,
140,Mejiro Ramonu,,3*,0.75,19/10/2023,30/10/2023,FALSE,TRUE,
141,Tokai Teio,Festival,3*,0.75,30/10/2023,09/11/2023,FALSE,TRUE,
142,Kawakami Princess,Festival,3*,0.75,30/10/2023,09/11/2023,FALSE,TRUE,
143,Tap Dance City,,3*,0.75,20/11/2023,30/11/2023,FALSE,TRUE,
144,Mejiro Bright,Christmas,3*,0.75,30/11/2023,11/12/2023,TRUE,FALSE,
145,Mejiro Palmer,Christmas,3*,0.75,30/11/2023,11/12/2023,TRUE,FALSE,
146,Satono Crown,,3*,0.75,11/12/2023,20/12/2023,FALSE,TRUE,
147,Cheval Grand,,3*,0.75,20/12/2023,28/12/2023,FALSE,TRUE,
148,Kitasan Black,Anime Collab,3*,0.75,28/12/2023,09/01/2024,FALSE,TRUE,
149,Nice Nature,New Year,3*,0.75,09/01/2024,19/01/2024,FALSE,TRUE,
150,Vivlos,,3*,0.75,19/01/2024,31/01/2024,FALSE,TRUE,
151,Manhattan Cafe,Valentine,3*,0.75,31/01/2024,14/02/2024,FALSE,TRUE,
152,Yukino Bijin,Valentine,3*,0.75,31/01/2024,14/02/2024,FALSE,TRUE,
153,Biko Pegasus,,2*,2.25,14/02/2024,24/02/2024,FALSE,TRUE,
154,Duramente,,3*,0.75,24/02/2024,21/03/2024,FALSE,TRUE,
155,Ikuno Dictus,,2*,2.25,24/02/2024,21/03/2024,FALSE,TRUE,
156,Transcend,,3*,0.75,12/03/2024,21/03/2024,FALSE,TRUE,
157,Rhein Kraft,,3*,0.75,21/03/2024,29/03/2024,FALSE,TRUE,
158,Daitaku Helios,Ballroom,3*,0.75,29/03/2024,09/04/2024,FALSE,TRUE,
159,Daiichi Ruby,Ballroom,3*,0.75,29/03/2024,09/04/2024,FALSE,TRUE,
160,Winning Ticket,U.A.F.,3*,0.75,09/04/2024,19/04/2024,FALSE,TRUE,
161,Sounds of Earth,,3*,0.75,19/04/2024,30/04/2024,FALSE,TRUE,
162,Yaeno Muteki,Warfare,3*,0.75,30/04/2024,10/05/2024,FALSE,TRUE,
163,Super Creek,Warfare,3*,0.75,30/04/2024,10/05/2024,FALSE,TRUE,
164,Katsuragi Ace,,3*,0.6,30/04/2024,10/05/2024,TRUE,FALSE,
165,Hishi Amazon,Wedding,3*,0.6,30/04/2024,10/05/2024,TRUE,FALSE,
166,Sakura Chiyono O,Ballroom,3*,0.6,30/04/2024,10/05/2024,TRUE,FALSE,
167,Sakura Chiyono O,,3*,0.6,30/04/2024,10/05/2024,TRUE,FALSE,
168,Hishi Amazon,,3*,0.6,30/04/2024,10/05/2024,TRUE,FALSE,
169,Agnes Tachyon,Alt Version,3*,0.75,10/05/2024,20/05/2024,FALSE,TRUE,
170,North Flight,,3*,0.75,20/05/2024,30/05/2024,FALSE,TRUE,
171,Sweep Tosho,Wedding,3*,0.75,30/05/2024,13/06/2024,FALSE,TRUE,
172,King Halo,Wedding,3*,0.75,30/05/2024,13/06/2024,FALSE,TRUE,
173,Jungle Pocket,,3*,0.75,13/06/2024,26/06/2024,FALSE,TRUE,
174,Dream Journey,,3*,0.75,26/06/2024,19/07/2024,FALSE,TRUE,
175,Rice Shower,Great Food Festival,3*,0.75,09/07/2024,19/07/2024,FALSE,TRUE,
176,Calstone Light O,,3*,0.75,19/07/2024,29/07/2024,FALSE,TRUE,
177,Hokko Tarumae,Summer Trip,3*,0.75,29/07/2024,14/08/2024,FALSE,TRUE,
178,Eishin Flash,Summer Trip,3*,0.75,29/07/2024,14/08/2024,FALSE,TRUE,
